dataset,sg_ratio,fb_ratio,cbcn_ratio,sg_over_cbcn,fb_over_cbcn,sg_total_sec,fb_total_sec,cbcn_total_sec,cbcn_over_sg_time,cbcn_over_fb_time
web-polblogs,0.955,0.818,0.783,1.22,1.04,0.044,0.036,0.049,1.11,1.36
web-google,0.900,0.746,0.648,1.39,1.15,0.047,0.005,0.005,0.11,1.00
web-edu,0.975,0.753,0.686,1.42,1.10,0.047,0.024,0.024,0.51,1.00
web-EPA,0.861,0.886,0.767,1.12,1.16,0.119,0.049,0.052,0.44,1.06
web-BerkStan,0.882,0.822,0.733,1.20,1.12,0.302,0.028,0.032,0.11,1.14
web-webbase-2001,0.720,0.857,0.624,1.15,1.37,0.466,0.152,0.168,0.36,1.11
web-indochina-2004,0.982,0.632,0.612,1.60,1.03,0.287,0.081,0.084,0.29,1.04
web-sk-2005,0.927,0.733,0.673,1.38,1.09,4.190,0.482,0.890,0.21,1.85
